 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
6,Anita,Mutono,Osei-Atweneboana et al,Close to elimination,2007,Prevalence and intensity of Onchocerca volvulus infection and efficacy of ivermectin in endemic communities in Ghana: a two-phase epidemiological study,Lancet,369;9578,2021-2029,Ghana,OCP,Ghana OCP,Nkoranza District,2004-2005,"18-65 years,permanent resident of the community for >=6 years,available ivermectin treatment history for >=6 years,ivermectin treatment received within 11-12 months,no contraindication for ivermectin",139,Savannah ,,,,,,,Yes,,,,1986,,12,,Annual,,,67%,,,,,,,,,0.00%,No. positive / number examined *100,,0mf/s,two skin snips using 2mm Holth corneoscelar punch and incubated for 24 hours for negative skin snips under sterile normal saline solution at room temperature,microscope,,,,,,,"Pretreatment: nodular prevalence-2.9%, Mf prevalence- 21.1% CMFL- 0.1 mf/s",,,,,,,
6,Anita,Mutono,Osei-Atweneboana et al,Close to elimination,2007,Prevalence and intensity of Onchocerca volvulus infection and efficacy of ivermectin in endemic communities in Ghana: a two-phase epidemiological study,Lancet,369;9578,2021-2029,Ghana,OCP,Ghana OCP,East Gonja District,2004-2005,"18-65 years,permanent resident of the community for >=6 years,available ivermectin treatment history for >=6 years,ivermectin treatment received within 11-12 months,no contraindication for ivermectin",202,Savannah ,,,,,,,Yes,,,,1986,,11,,Annual,,,67%,,,,,,,,,0.35%,No. positive / number examined *100,,0.00235mf/s,two skin snips using 2mm Holth corneoscelar punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Pretreatment: nodular prevalence-17.4%, Mf prevalence- 40.9% CMFL- 1.7 mf/s",,,,,,,
7,Anita,Mutono,Hernández-González et al,Close to elimination,2016,Evaluation of onchocerciasis seroprevalence in Bioko Island (Equatorial Guinea) after years of disease control programmes,Parasites & Vectors,9;1,NA,Equatorial Guinea,OCP,,Bioko Island,2014,">=5 years,Equatoguinean nationals,permanent residents for >=5 years",544,,Simulium yahense,,,,,,Yes,Yes (OCP),Aerial larviciding,Tested less than the required number of children,1995,1974,19,5,Annual,,,62-92%,,,,,,Evaluation of IgG4 antibodies specific for recombinant Ov-16 by using ELISA,,,Skin snip - 0%; Ov-16 ELISA - 7.9%,No. positive / number examined *100,40/544,,three skin snips from iliac crest using 2mm Holth corneoscelar punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,0%,blood drops collected using Whatman No.2 filter paper,,,,,,,The vector was eliminated in the island in 2005,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Cameroon,APOC,Ministry of Health Onchocerciasis control programme,Bangangte District,2005,Residents in community for >=10 years,719,,,78.3% for 10 years and above,,,77.3% for 10 years and above,,Yes,,,,1996,,10,,Annual,,,99.50%,,,,,,,11.7% above 10 years; 0% below 10 years,Nodule palpation examination,6.1% above 10 years; 3.4% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,,,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Cameroon,APOC,Ministry of Health Onchocerciasis control programme,Foumbot District,2005,Residents in community for >=10 years,719,,,86.0% for 10 years and above; 50.6% for 10 years and below,,,86.8% for 10 years and above; 51.8% for 10 years and below,,Yes,,,,1996,,10,,Annual,,,98.00%,,,,,,,16.0% above 10 years; 0% below 10 years,Nodule palpation examination,22.6% above 10 years; 6% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,,,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Cameroon,APOC,Ministry of Health Onchocerciasis control programme,Bafang District,2005,Residents in community for >=10 years,719,,,68% for 10 years and above; 6.9% for 10 years and below,,,61.8% for 10 years and above; 0% for 10 years and below,,Yes,,,,1996,,10,,Annual,,,98%,,,,,,,9.0% above 10 years; 0% below 10 years,Nodule palpation examination,2.0% above 10 years; 0% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,,,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Cameroon,APOC,Ministry of Health Onchocerciasis control programme,Kekem District,2005,Residents in community for >=10 years,719,,,69.2% for 10 years and above; 26.7% for 10 years and below,,,55% for 10 years and above; 0% for 10 years and below,,Yes,,,,1996,,10,,Annual,,,77%,,,,,,,5.2% above 10 years; 0% below 10 years,Nodule palpation examination,2.6% above 10 years; 0% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,,,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Cameroon,APOC,Ministry of Health Onchocerciasis control programme,Bandja District,2005,Residents in community for >=10 years,719,,,72.1%for10 years and above,,,61.8%for10 years and above,,Yes,,,,1996,,10,,Annual,,,97.00%,,,,,,,8.9% above 10 years; 0% below 10 years,Nodule palpation examination,9.7% above 10 years; 8.1% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,,,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Uganda,APOC,Ministry of Health Onchocerciasis control programme,Kasese District,2005,Residents in community for >=10 years,838,,,70.7% for 10 years and above; 8% for 10 years and below,,,36% for 10 years and above; 0% for 10 years and below,,Yes,,,,1993,,13,,Annual,,,88.00%,,,,,,,6.7% above 10 years; 0% below 10 years,Nodule palpation examination,1.6% above 10 years; 0% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Nodulectomy conducted- 64% live female worms, 81% live male worms, 24% of the female worms had been inseminated",,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Uganda,APOC,Ministry of Health Onchocerciasis control programme,Kisoro District,2005,Residents in community for >=10 years,838,,,53.2% for 10 years and above; 15.6% for 10 years and below,,,27.2% for 10 years and above; 0% for 10 years and below,,Yes,,,,1993,,13,,Annual,,,90.00%,,,,,,,3.4% above 10 years; 0% below 10 years,Nodule palpation examination,4.9% above 10 years; 0% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,,,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Uganda,APOC,Ministry of Health Onchocerciasis control programme,Mbale District,2005,Residents in community for >=10 years,838,,,62.2% for 10 years and above; 3.1% for 10 years and below,,,59.1% for 10 years and above; 0% for 10 years and below,,Yes,,,,1993,,13,,Annual,,,96.00%,,,,,,,3.4% above 10 years; 0% below 10 years,Nodule palpation examination,1.5% above 10 years; 0% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Nodulectomy conducted- 64% live female worms, 81% live male worms, 24% of the female worms had been inseminated",,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Uganda,APOC,Ministry of Health Onchocerciasis control programme,Moyo District,2005,Residents in community for >=10 years,838,,,80% for 10 years and above; 40.6% for 10 years and below,,,33% for 10 years and above; 0% for 10 years and below,,Yes,,,,1993,,12,,Annual,,,92.00%,,,,,,,11.4% above 10 years; 0% below 10 years,Nodule palpation examination,6.9% above 10 years; 1.9% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Nodulectomy conducted- 64% live female worms, 81% live male worms, 24% of the female worms had been inseminated",,,,,,,
8,Anita,Mutono,Katabarwa et al,Ongoing transmission,2008,"After a decade of annual dose mass ivermectin treatment in Cameroon and Uganda, onchocerciasis transmission continues",Tropical Medicine & International Health,13;9,1196-1203,Uganda,APOC,Ministry of Health Onchocerciasis control programme,Nebbi District,2005,Residents in community for >=10 years,838,,,98.9% for 10 years and above; 69.6% for 10 years and below,,,80% for 10 years and above; 0% for 10 years and below,,Yes,,,,1993,,13,,Annual,,,93.00%,,,,,,,19.5% above 10 years; 0% below 10 years,Nodule palpation examination,19.2% above 10 years; 7.3% below 10 years,No. positive / number examined *100,,,two skin snips using dermal hook & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Nodulectomy conducted- 64% live female worms, 81% live male worms, 24% of the female worms had been inseminated",,,,,,,
9,Anita,Mutono,Seidenfaden et al,Ongoing transmission,2001,Combined benefits of annual mass treatment with ivermectin and cattle zooprophylaxis on the severity of human onchocerciasis in northern Cameroon,Tropical Medicine & International Health,6;9,715-725,Cameroon,APOC,Cameroon Ministry of Public Health,Vina du Nord River valley,1996-1998,,"70 humans, 30 adult cattle",Sudan-savanna,Simulium damnosum sensu stricto,80%,48 mf/s,2454,NR,33899,Yes,,,,1987,,10,,Annual,,,74%,,,,,,,NR,NR,23%,No. positive / number examined *100,,1 mf/s,4 skin snips from calf and buttock; 2 examined fresh after 24h incubation in saline;2 stored in 80% ethanol & examined with PCR & hybridization,PCR and hybridization using DNA-probe S9,,,,Yes- though larvae was extracted from the fly and DNA assessed using PCR,4.7,10262,"Mean Annual Biting Rate- 38716, mean ATP for O.volvulus- 504; Parous rate of flies- 61.5%, mean ATP for O.ochengi and O.ramachandrini-1667, Of the infective larvae 33% were O. volvulus 65% O.ochengi and 2% O.ramachandrini, mf prevalence of O.ochengi in cattle- 87%, mf prevalence of O.gutturosa in cattle-80%, mf prevalence of O.dukei in cattle- 73%",,"Studies combined effects (on O. volvulus transmission) of ivermectin MDA, zooprophylaxis from increased availability of bovine blood-hosts & possible concomitant immunity from transmission of other Onchocerca species.",,504,38716,,
10,Anita,Mutono,Richards et al,Elimination of transmission,2020,"The interruption of transmission of onchocerciasis by an annual mass drug administration (MDA) program in plateau and Nasarawa States, Nigeria",American Journal of Tropical Medicine and Hygiene,102;3,582-592,Nigeria,APOC,Nigeria Onchocerciasis Elimination Committee ,Nasarawa,2017,5-9.5 years,3182 children 5-9.5 years; 19056 flies,,Simulium damnosum s.l,64%,,,,,Yes,,,Yes,1992-1993,,19,,Annual,,,>80%,1995,,,Elimination,Interrupted transmission of oncho,OV16 surveys in children (5-<10 years) and entomological surveys,NR,NR,0.30%,NR,NR,NR,,,0.031% (UCL 0.093%) (1/3182),blood drops collected using Whatman No.2 filter paper,,Yes,0 (UCL 0.02%),12944,MDA stopped in January 2018,LF treatment from 2002-2012,Serological assessments were done on children & entomological assessments were done on vectors to prove interrupted transmission. MDA was stopped in 2018. LF MDA was also done btn 2000-2012.,Yes,,,,22
10,Anita,Mutono,Richards et al,Elimination of transmission,2020,"The interruption of transmission of onchocerciasis by an annual mass drug administration (MDA) program in plateau and Nasarawa States, Nigeria",American Journal of Tropical Medicine and Hygiene,102;3,582-592,Nigeria,APOC,Nigeria Onchocerciasis Elimination Committee ,Plateau,2017,5-9.5 years,3080 children 5-9.5 years; 19056 flies,,Simulium damnosum s.l,64%,,,,,Yes,,,Yes,1992-1993,,16,,Annual,,,>80%,1995,,,Elimination,Interrupted transmission of oncho,OV16 surveys in children (5-<10 years) and entomological surveys,NR,NR,0.30%,NR,NR,NR,,,0.032% (UCL 0.096%) (1/3080),blood drops collected using Whatman No.2 filter paper,,Yes,0 (UCL 0.03%),6112,MDA stopped in January 2019,LF treatment from 2002-2012,Serological assessments were done on children & entomological assessments were done on vectors to prove interrupted transmission. MDA was stopped in 2018. LF MDA was also done btn 2000-2012.,Yes,,,,22
11,Anita,Mutono,Abong et al,Ongoing transmission,2020,Differential susceptibility of Onchocerca volvulus microfilaria to ivermectin in two areas of contrasting history of mass drug administration in Cameroon: Relevance of microscopy and molecular techniques for the monitoring of skin microfilarial repopulation within six months of direct observed treatment,BMC Infectious Diseases,20;1,NA,Cameroon,APOC,,Bafia Health District,2016-2017,">=5 years,lived in community for>=5 years",388 (311adults >=20 years & 77children 5-19 years),forest-savannah,,,,,,,Yes,,,,,,>20,,Annual,,,>80%,,,,,,,41.50%,Nodule palpation using REA guidelines,30.00%,No. positive / number examined *100,105/388,0.4 mf/s,two skin snips using 2mm corneoscelar punch and incubated for 24 hours under sterile normal saline solution at room temperature,"microscope, PCR, O-150 LAMP",,,,,,,Using PCR Mf prev-36% whereas 0-150 LAMP Mf prev-43%,Mansonella perstans and Loa loa,The study followed up a subset of the sampled population for 6 months after direct observed treatment with IVM to compare 3 diagnostic methods,,,,,
11,Anita,Mutono,Abong et al,Ongoing transmission,2020,Differential susceptibility of Onchocerca volvulus microfilaria to ivermectin in two areas of contrasting history of mass drug administration in Cameroon: Relevance of microscopy and molecular techniques for the monitoring of skin microfilarial repopulation within six months of direct observed treatment,BMC Infectious Diseases,20;1,NA,Cameroon,APOC,,Melong Health District,2016-2017,">=5 years,lived in community for>=5 years",599 (467adukts & 132children 5-19 years),forest,,>40%,,,>20% in adult males,,Yes,,,,,,10,,Annual,,,>80%,,,,,,,28.40%,Nodule palpation using REA guidelines,18.00%,No. positive / number examined *100,70/599,1.3 mf/s,two skin snips using 2mm corneoscelar punch and incubated for 24 hours under sterile normal saline solution at room temperature,"microscope, PCR, O-150 LAMP",,,,,,,Using PCR Mf prev-18% whereas 0-150 LAMP Mf prev-31.5%,Mansonella perstans and Loa loa,The study followed up a subset of the sampled population for 6 months after direct observed treatment with IVM to compare 3 diagnostic methods,,,,,
12,Anita,Mutono,Diawara et al,Elimination of transmission,2009,Feasibility of onchocerciasis elimination with ivermectin treatment in endemic foci in Africa: First evidence from studies in Mali and Senegal,PLOS Neglected Tropical Diseases,3;7,NA,Mali,OCP,,River Bakoye,2006-2008,>1 year,"17890 (all 3), 47120 flies",Dry savanna,"Simulium damnosum s.l; Simulium dieguernse, Simulium Sirbanum",,10.2-21.6 mf/s,,,,Yes,No,,,1992,NA,15,NA,Annual,,,>80%,1992,,,,,,,,0.26%,No. positive / number examined *100,18/6899,,two skin snips using 2mm Holth corneoscelar punch and incubated for 30 minutes in distilled water & 24 hours under sterile normal saline solution at room temperature,microscope,,,Yes,Yes,"0.47 UCL in phase 1, 0.18 in phase 2",45600,"rivers do not flow during the dry season hence no blackflies, tested after two years of stopping treatment, 0% mf prevalence, 0% on the DEC patch test",,"MDA stopped, transmission is seasonal",Yes,,,,16
